molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,920.0,active
CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,900.0,active
CHEMBL131588,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,50000.0,inactive
CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,1000.0,active
CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,200.0,active
CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,10.0,active
CHEMBL337486,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,50000.0,inactive
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,410.0,active
CHEMBL131051,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,50000.0,inactive
CHEMBL341437,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,4000.0,intermediate
CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,130.0,active
CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,230.0,active
CHEMBL339995,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,370.0,active
CHEMBL335158,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,50000.0,inactive
CHEMBL106126,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,50000.0,inactive
CHEMBL130666,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,900.0,active
CHEMBL134061,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,50000.0,inactive
CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,200.0,active
CHEMBL130645,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,14000.0,inactive
CHEMBL336524,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,50.0,active
CHEMBL336276,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,300.0,active
CHEMBL334395,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,100.0,active
CHEMBL131320,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,460.0,active
CHEMBL339297,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,50000.0,inactive
CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,100.0,active
CHEMBL130704,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,2000.0,intermediate
CHEMBL19060,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,6165.95,intermediate
CHEMBL75644,CCOC(=O)N(C)CC[C@@]12C=C[C@H](O)C[C@@H]1Oc1c(OC)ccc(C=O)c12,155000.0,inactive
CHEMBL422977,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,3715.35,intermediate
CHEMBL75699,CCOC(=O)N1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(OC)ccc(c23)C1,300000.0,inactive
CHEMBL310961,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)OC2,960000.0,inactive
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,18000.0,inactive
CHEMBL11805,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,11748.98,inactive
CHEMBL302179,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,1380.38,intermediate
CHEMBL80382,CCOC(=O)N(C)CC[C@@]12C=C[C@H](O)C[C@@H]1Oc1c(OC)ccc(CO)c12,216000.0,inactive
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,22.91,active
